Algorithm,Preprocessing,Split,Type,SampleIndex,OriginalIndex,Features,Class
KNN,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
KNN,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
KNN,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
KNN,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
KNN,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
KNN,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
KNN,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
KNN,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,10,10,7;3.2;4.7;1.4,versicolor
KNN,raw,80-20,Train,11,11,6.4;3.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,12,12,6.9;3.1;4.9;1.5,versicolor
KNN,raw,80-20,Train,13,13,5.5;2.3;4;1.3,versicolor
KNN,raw,80-20,Train,14,14,6.5;2.8;4.6;1.5,versicolor
KNN,raw,80-20,Train,15,15,5.7;2.8;4.5;1.3,versicolor
KNN,raw,80-20,Train,16,16,6.3;3.3;4.7;1.6,versicolor
KNN,raw,80-20,Train,17,17,4.9;2.4;3.3;1,versicolor
KNN,raw,80-20,Train,18,18,6.6;2.9;4.6;1.3,versicolor
KNN,raw,80-20,Train,19,19,5.2;2.7;3.9;1.4,versicolor
KNN,raw,80-20,Train,20,20,6.3;3.3;6;2.5,virginica
KNN,raw,80-20,Train,21,21,5.8;2.7;5.1;1.9,virginica
KNN,raw,80-20,Train,22,22,7.1;3;5.9;2.1,virginica
KNN,raw,80-20,Train,23,23,6.3;2.9;5.6;1.8,virginica
KNN,raw,80-20,Test,0,24,6.5;3;5.8;2.2,virginica
KNN,raw,80-20,Test,1,25,7.6;3;6.6;2.1,virginica
KNN,raw,80-20,Test,2,26,4.9;2.5;4.5;1.7,virginica
KNN,raw,80-20,Test,3,27,7.3;2.9;6.3;1.8,virginica
KNN,raw,80-20,Test,4,28,6.7;2.5;5.8;1.8,virginica
KNN,raw,80-20,Test,5,29,7.2;3.6;6.1;2.5,virginica
KNN,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
KNN,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
KNN,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
KNN,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
KNN,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
KNN,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
KNN,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
KNN,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,10,10,7;3.2;4.7;1.4,versicolor
KNN,raw,80-20,Train,11,11,6.4;3.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,12,12,6.9;3.1;4.9;1.5,versicolor
KNN,raw,80-20,Train,13,13,5.5;2.3;4;1.3,versicolor
KNN,raw,80-20,Train,14,14,6.5;2.8;4.6;1.5,versicolor
KNN,raw,80-20,Train,15,15,5.7;2.8;4.5;1.3,versicolor
KNN,raw,80-20,Train,16,16,6.3;3.3;4.7;1.6,versicolor
KNN,raw,80-20,Train,17,17,4.9;2.4;3.3;1,versicolor
KNN,raw,80-20,Train,18,18,6.6;2.9;4.6;1.3,versicolor
KNN,raw,80-20,Train,19,19,5.2;2.7;3.9;1.4,versicolor
KNN,raw,80-20,Train,20,20,6.3;3.3;6;2.5,virginica
KNN,raw,80-20,Train,21,21,5.8;2.7;5.1;1.9,virginica
KNN,raw,80-20,Train,22,22,7.1;3;5.9;2.1,virginica
KNN,raw,80-20,Train,23,23,6.3;2.9;5.6;1.8,virginica
KNN,raw,80-20,Test,0,24,6.5;3;5.8;2.2,virginica
KNN,raw,80-20,Test,1,25,7.6;3;6.6;2.1,virginica
KNN,raw,80-20,Test,2,26,4.9;2.5;4.5;1.7,virginica
KNN,raw,80-20,Test,3,27,7.3;2.9;6.3;1.8,virginica
KNN,raw,80-20,Test,4,28,6.7;2.5;5.8;1.8,virginica
KNN,raw,80-20,Test,5,29,7.2;3.6;6.1;2.5,virginica
KNN,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
KNN,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
KNN,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
KNN,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
KNN,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
KNN,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
KNN,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
KNN,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,10,10,7;3.2;4.7;1.4,versicolor
KNN,raw,80-20,Train,11,11,6.4;3.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,12,12,6.9;3.1;4.9;1.5,versicolor
KNN,raw,80-20,Train,13,13,5.5;2.3;4;1.3,versicolor
KNN,raw,80-20,Train,14,14,6.5;2.8;4.6;1.5,versicolor
KNN,raw,80-20,Train,15,15,5.7;2.8;4.5;1.3,versicolor
KNN,raw,80-20,Train,16,16,6.3;3.3;4.7;1.6,versicolor
KNN,raw,80-20,Train,17,17,4.9;2.4;3.3;1,versicolor
KNN,raw,80-20,Train,18,18,6.6;2.9;4.6;1.3,versicolor
KNN,raw,80-20,Train,19,19,5.2;2.7;3.9;1.4,versicolor
KNN,raw,80-20,Train,20,20,6.3;3.3;6;2.5,virginica
KNN,raw,80-20,Train,21,21,5.8;2.7;5.1;1.9,virginica
KNN,raw,80-20,Train,22,22,7.1;3;5.9;2.1,virginica
KNN,raw,80-20,Train,23,23,6.3;2.9;5.6;1.8,virginica
KNN,raw,80-20,Test,0,24,6.5;3;5.8;2.2,virginica
KNN,raw,80-20,Test,1,25,7.6;3;6.6;2.1,virginica
KNN,raw,80-20,Test,2,26,4.9;2.5;4.5;1.7,virginica
KNN,raw,80-20,Test,3,27,7.3;2.9;6.3;1.8,virginica
KNN,raw,80-20,Test,4,28,6.7;2.5;5.8;1.8,virginica
KNN,raw,80-20,Test,5,29,7.2;3.6;6.1;2.5,virginica
DecisionTree,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
DecisionTree,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
DecisionTree,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
DecisionTree,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
DecisionTree,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
DecisionTree,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
DecisionTree,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
DecisionTree,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
DecisionTree,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
DecisionTree,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
DecisionTree,raw,80-20,Train,10,10,7;3.2;4.7;1.4,versicolor
DecisionTree,raw,80-20,Train,11,11,6.4;3.2;4.5;1.5,versicolor
DecisionTree,raw,80-20,Train,12,12,6.9;3.1;4.9;1.5,versicolor
DecisionTree,raw,80-20,Train,13,13,5.5;2.3;4;1.3,versicolor
DecisionTree,raw,80-20,Train,14,14,6.5;2.8;4.6;1.5,versicolor
DecisionTree,raw,80-20,Train,15,15,5.7;2.8;4.5;1.3,versicolor
DecisionTree,raw,80-20,Train,16,16,6.3;3.3;4.7;1.6,versicolor
DecisionTree,raw,80-20,Train,17,17,4.9;2.4;3.3;1,versicolor
DecisionTree,raw,80-20,Train,18,18,6.6;2.9;4.6;1.3,versicolor
DecisionTree,raw,80-20,Train,19,19,5.2;2.7;3.9;1.4,versicolor
DecisionTree,raw,80-20,Train,20,20,6.3;3.3;6;2.5,virginica
DecisionTree,raw,80-20,Train,21,21,5.8;2.7;5.1;1.9,virginica
DecisionTree,raw,80-20,Train,22,22,7.1;3;5.9;2.1,virginica
DecisionTree,raw,80-20,Train,23,23,6.3;2.9;5.6;1.8,virginica
DecisionTree,raw,80-20,Test,0,24,6.5;3;5.8;2.2,virginica
DecisionTree,raw,80-20,Test,1,25,7.6;3;6.6;2.1,virginica
DecisionTree,raw,80-20,Test,2,26,4.9;2.5;4.5;1.7,virginica
DecisionTree,raw,80-20,Test,3,27,7.3;2.9;6.3;1.8,virginica
DecisionTree,raw,80-20,Test,4,28,6.7;2.5;5.8;1.8,virginica
DecisionTree,raw,80-20,Test,5,29,7.2;3.6;6.1;2.5,virginica
DecisionTree,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
DecisionTree,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
DecisionTree,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
DecisionTree,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
DecisionTree,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
DecisionTree,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
DecisionTree,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
DecisionTree,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
DecisionTree,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
DecisionTree,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
DecisionTree,raw,80-20,Train,10,10,7;3.2;4.7;1.4,versicolor
DecisionTree,raw,80-20,Train,11,11,6.4;3.2;4.5;1.5,versicolor
DecisionTree,raw,80-20,Train,12,12,6.9;3.1;4.9;1.5,versicolor
DecisionTree,raw,80-20,Train,13,13,5.5;2.3;4;1.3,versicolor
DecisionTree,raw,80-20,Train,14,14,6.5;2.8;4.6;1.5,versicolor
DecisionTree,raw,80-20,Train,15,15,5.7;2.8;4.5;1.3,versicolor
DecisionTree,raw,80-20,Train,16,16,6.3;3.3;4.7;1.6,versicolor
DecisionTree,raw,80-20,Train,17,17,4.9;2.4;3.3;1,versicolor
DecisionTree,raw,80-20,Train,18,18,6.6;2.9;4.6;1.3,versicolor
DecisionTree,raw,80-20,Train,19,19,5.2;2.7;3.9;1.4,versicolor
DecisionTree,raw,80-20,Train,20,20,6.3;3.3;6;2.5,virginica
DecisionTree,raw,80-20,Train,21,21,5.8;2.7;5.1;1.9,virginica
DecisionTree,raw,80-20,Train,22,22,7.1;3;5.9;2.1,virginica
DecisionTree,raw,80-20,Train,23,23,6.3;2.9;5.6;1.8,virginica
DecisionTree,raw,80-20,Test,0,24,6.5;3;5.8;2.2,virginica
DecisionTree,raw,80-20,Test,1,25,7.6;3;6.6;2.1,virginica
DecisionTree,raw,80-20,Test,2,26,4.9;2.5;4.5;1.7,virginica
DecisionTree,raw,80-20,Test,3,27,7.3;2.9;6.3;1.8,virginica
DecisionTree,raw,80-20,Test,4,28,6.7;2.5;5.8;1.8,virginica
DecisionTree,raw,80-20,Test,5,29,7.2;3.6;6.1;2.5,virginica
RandomForest,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
RandomForest,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
RandomForest,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
RandomForest,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
RandomForest,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
RandomForest,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
RandomForest,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
RandomForest,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
RandomForest,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
RandomForest,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
RandomForest,raw,80-20,Train,10,10,7;3.2;4.7;1.4,versicolor
RandomForest,raw,80-20,Train,11,11,6.4;3.2;4.5;1.5,versicolor
RandomForest,raw,80-20,Train,12,12,6.9;3.1;4.9;1.5,versicolor
RandomForest,raw,80-20,Train,13,13,5.5;2.3;4;1.3,versicolor
RandomForest,raw,80-20,Train,14,14,6.5;2.8;4.6;1.5,versicolor
RandomForest,raw,80-20,Train,15,15,5.7;2.8;4.5;1.3,versicolor
RandomForest,raw,80-20,Train,16,16,6.3;3.3;4.7;1.6,versicolor
RandomForest,raw,80-20,Train,17,17,4.9;2.4;3.3;1,versicolor
RandomForest,raw,80-20,Train,18,18,6.6;2.9;4.6;1.3,versicolor
RandomForest,raw,80-20,Train,19,19,5.2;2.7;3.9;1.4,versicolor
RandomForest,raw,80-20,Train,20,20,6.3;3.3;6;2.5,virginica
RandomForest,raw,80-20,Train,21,21,5.8;2.7;5.1;1.9,virginica
RandomForest,raw,80-20,Train,22,22,7.1;3;5.9;2.1,virginica
RandomForest,raw,80-20,Train,23,23,6.3;2.9;5.6;1.8,virginica
RandomForest,raw,80-20,Test,0,24,6.5;3;5.8;2.2,virginica
RandomForest,raw,80-20,Test,1,25,7.6;3;6.6;2.1,virginica
RandomForest,raw,80-20,Test,2,26,4.9;2.5;4.5;1.7,virginica
RandomForest,raw,80-20,Test,3,27,7.3;2.9;6.3;1.8,virginica
RandomForest,raw,80-20,Test,4,28,6.7;2.5;5.8;1.8,virginica
RandomForest,raw,80-20,Test,5,29,7.2;3.6;6.1;2.5,virginica
RandomForest,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
RandomForest,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
RandomForest,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
RandomForest,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
RandomForest,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
RandomForest,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
RandomForest,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
RandomForest,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
RandomForest,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
RandomForest,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
RandomForest,raw,80-20,Train,10,10,7;3.2;4.7;1.4,versicolor
RandomForest,raw,80-20,Train,11,11,6.4;3.2;4.5;1.5,versicolor
RandomForest,raw,80-20,Train,12,12,6.9;3.1;4.9;1.5,versicolor
RandomForest,raw,80-20,Train,13,13,5.5;2.3;4;1.3,versicolor
RandomForest,raw,80-20,Train,14,14,6.5;2.8;4.6;1.5,versicolor
RandomForest,raw,80-20,Train,15,15,5.7;2.8;4.5;1.3,versicolor
RandomForest,raw,80-20,Train,16,16,6.3;3.3;4.7;1.6,versicolor
RandomForest,raw,80-20,Train,17,17,4.9;2.4;3.3;1,versicolor
